name;address;zipcode;city;siret;photo
Ubisoft;126 rue de Lagny;93100;Montreuil;;
Orange;1 avenue Nelson Mandela;94110;Arcueil;;
Carene Assurance_Paris;92 rue Richelieu;75002;Paris;;https://www.carene.fr/images1/LOGO%20CARENE.jpg
Carene Assurance_Lyon;9 place Benoît Crépu;69245;Lyon;;https://www.carene.fr/images1/LOGO%20CARENE.jpg
Carene Assurance_Valence;69 avenue Léon Gambetta;26008;Valence;;https://www.carene.fr/images1/LOGO%20CARENE.jpg
Orpea - Castagnary;102 rue Castagnary;75015;Paris;;https://www.orpea-groupe.com/sites/default/files/styles/large/public/images_actualites/logo_orpea_groupe.jpg?itok=5_x2O4a0
Orpea - Le Corbusier;61 rue de Bellevue;92100;Boulogne-Billancourt;;https://www.orpea-groupe.com/sites/default/files/styles/large/public/images_actualites/logo_orpea_groupe.jpg?itok=5_x2O4a0
Record;6 rue de l'Orme St Germain;91160;Champlan;;https://www.record.fr/Content/images/record_logo_mobile.png
Le Bon Marché;5 rue de Babylone;75007;Paris;;https://www.smile.eu/sites/default/files/styles/reference_display_full/public/2017-08/lbm_logo1.png?itok=I4WLYote
RATP;34 rue Championnet;75599;Paris;;https://upload.wikimedia.org/wikipedia/commons/0/01/RATP.svg
Valiere Cortez_4Diderot;4 boulevard Diderot;75012;Paris;;
Valiere Cortez_7Diderot;7 boulevard Diderot;75012;Paris;;
Valiere Cortez_Passy;19 rue de Passy;75016;Paris;;
Fox Pathé Europa;241 boulevard Pereire;75017;Paris;;https://i.ytimg.com/vi/k6uO2BJ6OX0/maxresdefault.jpg
